ID,WT,FSA,Rural_FSA,Region,YOB,Age,Gender,Education,Children,Religion,Politics_Spectrum,Born_Current_City,Born_Current_Province,Born_Current_Country,Born_Parents,Income,Financial_Security,Financial_400,Employment,Occupation_Type,Home_Ownership,SV_01,SV_02,SV_03,SV_04,SV_05,SV_06,SV_07,SV_08,SV_09,SV_10,SV_11,SV_12,SV_13,SV_14,SV_15,SV_16,SV_17,SV_18,SV_19,SV_20,Conflict_1,Conflict_2,Conflict_3
38,0.4418378647288728,S4X,No,Prairies,1952,55+,Male,Bachelors,Yes,Not important,Progressive/liberal views,NA,NA,NA,All parents born in Canada,"$150,000 - $199,999",Yes,Put it on my credit card and pay it off in full at the next statement,Unemployed,"Occupations in art, culture, recreation and sport",Owned by you or a member of your household (even if it is still being paid for)?,A little like me,Not like me,Somewhat like me,Like me,Somewhat like me,Not like me,A little like me,Not like me,A little like me,Somewhat like me,Somewhat like me,A little like me,Somewhat like me,Like me,A little like me,A little like me,Somewhat like me,Not like me,Not like me,A little like me,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs"
39,0.6160335595675964,R3E,No,Prairies,1989,18-34,Female,Advanced,Yes,Somewhat important,Progressive/liberal views,NA,NA,NA,All parents born outside Canada,"0 - $34,999",Yes,Put it on my credit card and pay it off over time,Part-time,Health occupations,Rented (even if no cash rent is paid)?,A little like me,Somewhat like me,Somewhat like me,Like me,Very much like me,A little like me,Like me,Somewhat like me,Like me,Like me,A little like me,Somewhat like me,Like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,A little like me,Somewhat like me,Somewhat like me,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common
40,0.6649906164128526,M1B,No,Ontario,1959,55+,Male,Bachelors,Yes,Very important,Both conservative and liberal views,NA,NA,NA,All parents born outside Canada,NA,NA,Prefer not to say,Out of workforce,Sales and service occupations,Rented (even if no cash rent is paid)?,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,Somewhat like me,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs"
41,1.2695471949250052,V9V,No,BC,1958,55+,Female,HS,Yes,Somewhat important,Both conservative and liberal views,NA,NA,NA,All parents born in Canada,"$70,000 - $99,999",Yes,Put it on my credit card and pay it off in full at the next statement,Full-time,"Business, finance and administration occupations",Owned by you or a member of your household (even if it is still being paid for)?,Somewhat like me,Like me,A little like me,Like me,Somewhat like me,Somewhat like me,Somewhat like me,A little like me,Somewhat like me,Very much like me,Somewhat like me,A little like me,Somewhat like me,A little like me,Somewhat like me,A little like me,Somewhat like me,Not like me,Not like me,Somewhat like me,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs"
42,0.5186672412844774,V6Y,No,BC,1979,35-54,Male,Bachelors,Yes,Somewhat important,Both conservative and liberal views,NA,NA,NA,All parents born outside Canada,"$70,000 - $99,999",Yes,Put it on my credit card and pay it off over time,Full-time,Management occupations,Owned by you or a member of your household (even if it is still being paid for)?,Very much like me,Not like me,Somewhat like me,Somewhat like me,Very much like me,Very much like me,Like me,Very much like me,A little like me,Somewhat like me,Not like me,Very much like me,Somewhat like me,Like me,Like me,Somewhat like me,Not like me,Somewhat like me,Like me,Somewhat like me,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common
43,0.6030417857045036,K1T,No,Ontario,1980,35-54,Female,Bachelors,Yes,Not important,Progressive/liberal views,NA,NA,NA,All parents born outside Canada,"$150,000 - $199,999",Yes,Put it on my credit card and pay it off in full at the next statement,Full-time,"Occupations in education, law and social, community and government services",Owned by you or a member of your household (even if it is still being paid for)?,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,A little like me,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs"
44,1.879550402695152,M4E,No,Ontario,1961,55+,Female,HS,Yes,Not important,Progressive/liberal views,NA,NA,NA,All parents born in Canada,"$70,000 - $99,999",No,Put it on my credit card and pay it off over time,Out of workforce,"Occupations in art, culture, recreation and sport",Owned by you or a member of your household (even if it is still being paid for)?,Somewhat like me,Not like me at all,Somewhat like me,Like me,Somewhat like me,A little like me,A little like me,A little like me,Not like me at all,A little like me,A little like me,Somewhat like me,Like me,Like me,Like me,Like me,Somewhat like me,Not like me at all,Not like me at all,A little like me,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs"
45,0.3465964911069651,T3J,No,Prairies,1945,55+,Female,Bachelors,Yes,Not important,Progressive/liberal views,NA,NA,NA,All parents born in Canada,"0 - $34,999",Yes,With the money currently in my checking/savings account or with cash,Out of workforce,"Occupations in education, law and social, community and government services",Owned by you or a member of your household (even if it is still being paid for)?,A little like me,Not like me at all,Very much like me,Very much like me,Very much like me,A little like me,A little like me,Not like me,Somewhat like me,A little like me,A little like me,A little like me,Very much like me,Like me,Somewhat like me,A little like me,A little like me,Not like me,Somewhat like me,Like me,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs"
46,0.6030417857045036,M4S,No,Ontario,1982,35-54,Female,Bachelors,No,Not important,Progressive/liberal views,NA,NA,NA,All parents born outside Canada,"0 - $34,999",No,By borrowing from a friend or family member,Out of workforce,"Occupations in education, law and social, community and government services",Rented (even if no cash rent is paid)?,Not like me at all,Not like me at all,Like me,Very much like me,Like me,Not like me at all,Not like me,Not like me at all,A little like me,Somewhat like me,Somewhat like me,Not like me at all,Somewhat like me,Somewhat like me,Somewhat like me,Not like me,A little like me,Not like me at all,Not like me,A little like me,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are too large and we cannot come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common
47,2.3938665026831134,N8X,No,Ontario,1963,55+,Male,HS,Yes,Not important,Conservative views,NA,NA,NA,All parents born in Canada,"0 - $34,999",Yes,With the money currently in my checking/savings account or with cash,Out of workforce,"Trades, transport and equipment operators and related occupations",Rented (even if no cash rent is paid)?,A little like me,Not like me at all,A little like me,Like me,A little like me,Somewhat like me,Somewhat like me,A little like me,Not like me,Somewhat like me,A little like me,Not like me,A little like me,Somewhat like me,A little like me,A little like me,Like me,Not like me,Not like me,A little like me,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs"
